0,1,2,3,4,5,6,7,8,9,10,11,12,13,y_true,y_pred,y_proba
45.0,0.0,280570.0,0.0,39.0,13.0,4.0,1.0,39.0,4.0,2.0,9.0,4.0,0.0,0,1,0.7897067834531332
40.0,0.0,254949.0,0.0,57.0,9.0,7.0,1.0,39.0,4.0,2.0,11.0,4.0,0.0,1,0,0.3357196041384189
40.0,0.0,32185.0,0.0,41.0,13.0,5.0,1.0,39.0,13.0,2.0,9.0,4.0,0.0,0,1,0.6433358816611479
50.0,0.0,325537.0,0.0,65.0,11.0,0.0,1.0,39.0,0.0,2.0,8.0,4.0,0.0,1,0,0.4259179493450054
35.0,0.0,347491.0,0.0,36.0,16.0,6.0,1.0,39.0,10.0,2.0,10.0,4.0,0.0,0,1,0.7385485452890289
53.0,0.0,190257.0,0.0,55.0,9.0,4.0,1.0,39.0,5.0,2.0,11.0,4.0,0.0,1,0,0.32061848886199634
40.0,0.0,331831.0,0.0,35.0,13.0,4.0,1.0,39.0,12.0,2.0,9.0,4.0,0.0,0,1,0.6202680439296882
50.0,0.0,117295.0,0.0,52.0,2.0,4.0,1.0,39.0,4.0,2.0,3.0,4.0,0.0,1,0,0.24583208977484117
75.0,0.0,20809.0,0.0,42.0,9.0,4.0,1.0,39.0,3.0,0.0,11.0,4.0,1.0,1,0,0.0985420385379153
40.0,0.0,284582.0,0.0,37.0,14.0,4.0,0.0,39.0,4.0,2.0,12.0,4.0,5.0,0,1,0.7881893798708947
50.0,0.0,321086.0,0.0,42.0,14.0,0.0,1.0,39.0,0.0,2.0,12.0,4.0,0.0,0,1,0.6923483674558212
40.0,0.0,187493.0,0.0,71.0,9.0,4.0,1.0,39.0,11.0,2.0,11.0,4.0,0.0,1,0,0.3067968130223
40.0,0.0,100931.0,0.0,59.0,9.0,1.0,1.0,39.0,1.0,2.0,11.0,4.0,0.0,1,0,0.32684478785534193
40.0,0.0,192589.0,0.0,41.0,13.0,1.0,1.0,39.0,1.0,2.0,9.0,4.0,0.0,0,1,0.5881762548190728
64.0,0.0,231948.0,0.0,36.0,9.0,4.0,1.0,39.0,3.0,2.0,11.0,4.0,0.0,1,0,0.33427645231739045
16.0,0.0,148903.0,0.0,35.0,9.0,4.0,0.0,39.0,8.0,2.0,11.0,4.0,5.0,1,0,0.19275222266359845
40.0,0.0,258298.0,2231.0,23.0,13.0,6.0,1.0,39.0,1.0,4.0,9.0,4.0,3.0,1,0,0.14330513861579242
40.0,0.0,109912.0,0.0,42.0,10.0,4.0,0.0,39.0,13.0,4.0,15.0,4.0,1.0,1,0,0.04888925646090754
